setting,shape,seed,method,half,cells,lo_ratio,cov
n23,normal,290002,CP_PAC,2.1866510164757154,13,0.9128660513140833,0.9712319899734763
n23,normal,290002,Oracle,1.8851498769111052,13,0.9128660513140833,0.9405903942591107
n23,normal,290002,Oracle04,1.9126475780601442,13,0.9128660513140833,0.9442068155996741
n23,normal,290002,Plug,1.8130465631312336,13,0.9128660513140833,0.9301753600555689
n23,normal,290002,Dlow,1.946619253185518,13,0.9128660513140833,0.9484196013665818
n23,normal,290002,S,1.9505086062204477,13,0.9128660513140833,0.9488844713793188
n23,normal,290012,CP_PAC,2.5989924834669327,15,1.064192199758243,0.9906502179451182
n23,normal,290012,Oracle,2.3681470379975504,15,1.064192199758243,0.9821225706258214
n23,normal,290012,Oracle04,2.398131505330258,15,1.064192199758243,0.9835210521529183
n23,normal,290012,Plug,2.2607761881650936,15,1.064192199758243,0.9762268801674301
n23,normal,290012,Dlow,2.3807371591663897,15,1.064192199758243,0.9827219647730556
n23,normal,290012,S,2.385493881509612,15,1.064192199758243,0.9829437939015024
n23,normal,290000,CP_PAC,2.184381011032585,16,0.7169466346583074,0.9710657376187297
n23,normal,290000,Oracle,1.8823383135195275,16,0.7169466346583074,0.9402099043893912
n23,normal,290000,Oracle04,1.9098256605583224,16,0.7169466346583074,0.9438443358107258
n23,normal,290000,Plug,1.9160734356458151,16,0.7169466346583074,0.9446442509764745
n23,normal,290000,Dlow,2.0122356736152627,16,0.7169466346583074,0.9558049003317959
n23,normal,290000,S,2.0162561285200225,16,0.7169466346583074,0.9562268000988481
n23,normal,290005,CP_PAC,2.1745026318272362,16,0.7339856364841864,0.970332592033998
n23,normal,290005,Oracle,1.8701123547664682,16,0.7339856364841864,0.9385317828291062
n23,normal,290005,Oracle04,1.8975556486241016,16,0.7339856364841864,0.9422453584345116
n23,normal,290005,Plug,1.894037366716876,16,0.7339856364841864,0.9417799497826236
n23,normal,290005,Dlow,1.9955752502338868,16,0.7339856364841864,0.9540198242754725
n23,normal,290005,S,1.9995624175462552,16,0.7339856364841864,0.9544524644236956
n23,normal,290010,CP_PAC,2.296006528015452,17,0.7479652132746782,0.9783244918751661
n23,normal,290010,Oracle,2.018234741203205,17,0.7479652132746782,0.9564331804412629
n23,normal,290010,Oracle04,2.046284988066508,17,0.7479652132746782,0.9592716601959907
n23,normal,290010,Plug,2.0343401395447236,17,0.7479652132746782,0.9580826872418484
n23,normal,290010,Dlow,2.1281704460121236,17,0.7479652132746782,0.9666770457657483
n23,normal,290010,S,2.1324225390547156,17,0.7479652132746782,0.9670278738661509
n23,normal,290011,CP_PAC,2.427498899267163,19,0.7644571225857871,0.9847966670183346
n23,normal,290011,Oracle,2.1729987362557197,19,0.7644571225857871,0.9702195876009461
n23,normal,290011,Oracle04,2.2018327037052066,19,0.7644571225857871,0.9723228719531207
n23,normal,290011,Plug,2.182144171991928,19,0.7644571225857871,0.9709011059502144
n23,normal,290011,Dlow,2.2691181460610577,19,0.7644571225857871,0.9767388578394847
n23,normal,290011,S,2.273651853170733,19,0.7644571225857871,0.9770130728562909
n23,normal,290013,CP_PAC,2.3296291164441563,19,0.6962970957036674,0.9801742381121137
n23,normal,290013,Oracle,2.0583133203635544,19,0.6962970957036674,0.9604399336660492
n23,normal,290013,Oracle04,2.086552166639758,19,0.6962970957036674,0.963071365020528
n23,normal,290013,Plug,2.0956492105422413,19,0.6962970957036674,0.9638866796000236
n23,normal,290013,Dlow,2.17973727597347,19,0.6962970957036674,0.9707230582362152
n23,normal,290013,S,2.184092399748078,19,0.6962970957036674,0.9710445409419379
n23,normal,290003,CP_PAC,2.313122223537251,20,0.6612636059245747,0.9792840798255691
n23,normal,290003,Oracle,2.038750825412843,20,0.6612636059245747,0.9585250976292499
n23,normal,290003,Oracle04,2.0668983552200997,20,0.6612636059245747,0.9612562672323488
n23,normal,290003,Plug,2.08990880836501,20,0.6612636059245747,0.9633740078129653
n23,normal,290003,Dlow,2.171036473158403,20,0.6612636059245747,0.970071584572822
n23,normal,290003,S,2.17537421269427,20,0.6612636059245747,0.9703979146846262
n23,normal,290001,CP_PAC,2.583028767650169,25,0.686129503615927,0.9902062843700383
n23,normal,290001,Oracle,2.3503459486118445,25,0.686129503615927,0.9812440302556422
n23,normal,290001,Oracle04,2.380220041548362,25,0.686129503615927,0.9826976972279418
n23,normal,290001,Plug,2.3817276247956185,25,0.686129503615927,0.9827683624852128
n23,normal,290001,Dlow,2.4546893029194203,25,0.686129503615927,0.9858993599361556
